time,close,high,low,open,volumefrom,volumeto
1501545600,439.27,488.8,218.39,421,4070.04,1364069.69
1501632000,551.59,974.71,362.02,439.27,81509.81,44939867.63
1501718400,405.92,635.73,381.08,551.59,92856.1,39430900.09
1501804800,253.13,414.38,252.57,405.92,133487.37,39012988.12
1501891200,220.3,294.84,206.64,253.13,116728.92,26697590.83
1501977600,241.87,241.87,210.13,220.3,92025.16,19175891.13
1502064000,322.6,411.56,239.47,241.87,305369.81,89374025.1
1502150400,343.43,388.34,310.51,322.6,189918.52,65405748.92
1502236800,301.17,349.93,289.74,343.43,98243.16,31524578.59
1502323200,274.48,312.53,268.44,301.17,90794.01,26331114.65
1502409600,326.26,352.53,271.46,274.48,115445.06,37100135.8
1502496000,316,344.59,311.04,326.26,41121.01,13359671.69
1502582400,295.15,317.69,293.93,316,44494.54,13655828.8
1502668800,300.03,329.77,291.25,295.15,62398.26,19118045.5
1502755200,297.36,307.42,290.02,300.03,38751.32,11537495.55
1502841600,299.68,309.36,285.48,297.36,35034.62,10407736.35
1502928000,445.19,449.75,292.4,299.68,190744.55,72997662.11
1503014400,689.83,777.54,437.81,445.19,599573.95,350422575.89
1503100800,738.54,965.48,604.03,689.83,488212.73,382644710.5
1503187200,719.27,849.16,677.96,738.54,231694.52,176097781.09
1503273600,605.22,749.65,557.92,719.27,216266.02,137835348.17
1503360000,684.6,734.16,566.86,605.22,190941.81,127212595.92
1503446400,674.08,710.85,651.32,684.6,66100.43,44395029.53
1503532800,619.83,701.11,601.6,674.08,74455.2,47944401.5
1503619200,632.48,664.74,615.09,619.83,50996.06,32464569.83
1503705600,621.43,638.56,612.25,632.48,29106.51,18170375.11
1503792000,616.29,651.88,581.68,621.43,66741.61,40956416.01
1503878400,591.11,626.64,581.81,616.29,31720.36,19001371.41
1503964800,544.74,596.56,524.32,591.11,77738,43470346.16
1504051200,564.06,613.18,529.64,544.74,70837.84,40189458.22
