time,close,high,low,open,volumefrom,volumeto
1422489600,0.3107,0.35,0.3107,0.35,68.21,23.86
1422576000,0.3027,0.35,0.3027,0.3107,230,80.2
1422662400,0.2896,0.3027,0.2896,0.3027,82.1,24.55
1422748800,0.2896,0.2896,0.2896,0.2896,0,0
1422835200,0.3029,0.3035,0.2867,0.2896,59.58,17.89
1422921600,0.3311,0.36,0.3021,0.3029,254.39,90.77
1423008000,0.2922,0.3311,0.2755,0.3311,366.07,103.14
1423094400,0.2755,0.368,0.2727,0.2922,419.03,118.1
1423180800,0.2747,0.2767,0.2737,0.2755,119.43,32.88
1423267200,0.2747,0.2747,0.2747,0.2747,0,0
1423353600,0.2747,0.2747,0.2747,0.2747,0,0
1423440000,0.2747,0.2747,0.2747,0.2747,0,0
1423526400,0.2747,0.2747,0.2747,0.2747,0,0
1423612800,0.2747,0.2747,0.2747,0.2747,0,0
1423699200,0.2747,0.2747,0.2747,0.2747,0,0
1423785600,0.2747,0.2747,0.2747,0.2747,0,0
1423872000,0.2747,0.2747,0.2747,0.2747,0,0
1423958400,0.2747,0.2747,0.2747,0.2747,0,0
1424044800,0.2747,0.2747,0.2747,0.2747,0,0
1424131200,0.099,0.52,0.01,0.52,12.26,1
1424217600,0.099,0.099,0.099,0.099,0,0
1424304000,0.26,0.35,0.0886,0.099,171.26,41.34
1424390400,0.25,0.26,0.25,0.26,110.97,28.85
1424476800,0.25,0.25,0.25,0.25,0,0
1424563200,0.295,0.32,0.25,0.25,39.33,11.64
1424649600,0.35,0.35,0.295,0.295,150.8,48.56
1424736000,0.25,0.38,0.25,0.35,10.43,3.32
1424822400,0.25,0.25,0.25,0.25,0.001098,0.0002745
1424908800,0.25,0.38,0.25,0.25,0.263,0.0829
1424995200,0.25,0.25,0.25,0.25,0.02204,0.00551
1425081600,0.35,0.5499,0.25,0.25,40.3,16.51
1425168000,0.35,0.35,0.35,0.35,0,0
1425254400,0.5399,0.5399,0.35,0.35,1.02,0.5501
1425340800,0.497,0.5399,0.35,0.5399,0.4669,0.1756
1425427200,0.497,0.497,0.497,0.497,0,0
1425513600,0.26,0.497,0.26,0.497,0.0005611,0.0001459
1425600000,0.497,0.497,0.26,0.26,1.1,0.5469
1425686400,0.497,0.497,0.497,0.497,0.00261,0.001297
1425772800,0.497,0.497,0.26,0.497,0.4993,0.239
1425859200,0.25,0.5399,0.25,0.497,8.03,4.21
1425945600,0.5399,0.5399,0.25,0.25,0.02206,0.005515
1426032000,0.2611,0.8399,0.261,0.5399,21.82,5.8
1426118400,0.2611,0.2611,0.2611,0.2611,0,0
1426204800,0.8,0.81,0.2611,0.2611,4.12,3.28
1426291200,0.7998,0.8,0.6,0.8,22.21,13.32
1426377600,0.7998,0.7998,0.6,0.7998,0.051,0.03215
1426464000,0.4,0.7998,0.4,0.7998,13.72,10.95
1426550400,0.4,0.4,0.4,0.4,0,0
1426636800,0.4,0.4,0.4,0.4,0,0
1426723200,0.4,0.4,0.4,0.4,0,0
1426809600,0.4,0.4,0.4,0.4,0.002649,0.00106
1426896000,1,1,0.4,0.4,0.07555,0.06911
1426982400,0.2611,1,0.2611,1,3.33,2.29
1427068800,0.2611,0.2611,0.2611,0.2611,0.009012,0.002353
1427155200,0.278,0.878,0.2611,0.2611,0.04438,0.03645
1427241600,0.878,0.878,0.278,0.278,1.86,1.45
1427328000,0.278,0.878,0.278,0.878,0.03136,0.008719
1427414400,0.278,0.878,0.278,0.278,0.03321,0.02139
1427500800,0.878,0.878,0.278,0.278,0.1548,0.06532
1427587200,0.278,0.878,0.278,0.878,0.0102,0.002837
1427673600,0.85,0.878,0.278,0.278,3.57,3.07
1427760000,0.31,3,0.31,0.85,0.4199,0.4211
1427846400,0.33,0.33,0.31,0.31,0.008719,0.002877
1427932800,0.33,0.33,0.33,0.33,0,0
1428019200,0.33,0.33,0.33,0.33,0,0
1428105600,0.4,0.4,0.33,0.33,0.004532,0.001813
1428192000,0.34,1,0.33,0.4,30,11.67
1428278400,0.34,0.34,0.34,0.34,0.0009731,0.0003309
1428364800,0.34,0.34,0.34,0.34,0,0
1428451200,0.34,0.34,0.34,0.34,0,0
1428537600,1,1,0.35,0.35,0.004045,0.002096
1428624000,0.7955,1,0.35,1,20.91,16.34
1428710400,0.78,0.95,0.78,0.8,12.54,9.9
1428796800,0.92,0.94,0.78,0.78,0.2263,0.2104
1428883200,0.75,0.92,0.75,0.92,93.41,71.64
1428969600,0.5,0.75,0.5,0.75,57.08,40.7
1429056000,0.65,0.65,0.34,0.5,6.49,4.2
1429142400,0.72,0.72,0.65,0.65,0.3171,0.211
1429228800,0.72,0.72,0.65,0.72,13.31,9.27
1429315200,0.34,0.72,0.34,0.72,0.2406,0.1055
1429401600,0.34,0.34,0.34,0.34,0,0
1429488000,0.34,0.34,0.34,0.34,0.00987,0.003356
1429574400,0.34,0.72,0.34,0.34,0.3786,0.1917
1429660800,0.7,0.75,0.34,0.34,8.94,6.67
1429747200,0.719,0.75,0.34,0.7,12.12,5.58
1429833600,0.34,0.719,0.34,0.719,0.8723,0.3038
1429920000,0.34,0.34,0.34,0.34,0,0
1430006400,0.34,0.34,0.34,0.34,0,0
1430092800,0.59,0.59,0.34,0.34,1.08,0.3986
1430179200,0.59,0.59,0.59,0.59,0,0
1430265600,0.34,0.59,0.34,0.59,0.0722,0.02553
1430352000,0.34,0.34,0.34,0.34,0.1024,0.03481
1430438400,0.34,0.59,0.34,0.34,36.54,21.56
1430524800,0.34,0.579,0.34,0.34,0.8326,0.4729
1430611200,0.34,0.579,0.34,0.34,0.02989,0.0138
1430697600,0.34,0.34,0.34,0.34,2.05,0.6983
1430784000,0.34,0.579,0.34,0.34,12.12,4.98
1430870400,0.34,0.5789,0.34,0.34,0.6743,0.3051
1430956800,0.34,0.5789,0.34,0.34,0.2683,0.1038
1431043200,0.521,0.5789,0.34,0.34,4.89,2.75
1431129600,0.521,0.521,0.521,0.521,0.7646,0.3984
1431216000,0.45,0.521,0.45,0.521,0.01061,0.004772
1431302400,0.4,0.45,0.36,0.45,0.3863,0.1587
1431388800,0.5731,0.5731,0.4,0.4,0.03129,0.0154
1431475200,0.5731,0.5731,0.5731,0.5731,0,0
1431561600,0.41,0.5789,0.4,0.5731,8.81,4.01
1431648000,0.4975,0.58,0.41,0.41,28.05,15.74
1431734400,0.6368,0.6368,0.4975,0.4975,2.2,1.31
1431820800,0.5669,0.6368,0.56,0.6368,12.01,6.93
1431907200,0.4975,0.65,0.4975,0.5669,0.1661,0.08971
1431993600,0.51,0.51,0.4975,0.4975,9.26,4.72
