time,close,high,low,open,volumefrom,volumeto
1477612800,5000,5000,2100,2100,0.08311,414.42
1477699200,4000,30000,4000,12001,9.88,46066.49
1477785600,650,4000,475,4000,22.25,21969.19
1477872000,1600,3000,475,650,99.55,107279.85
1477958400,1550,2175,1200,1600,75.64,120784.35
1478044800,907.27,1550,840,1550,127.02,138837.54
1478131200,835.01,1099.99,835,907.27,180.74,173449.35
1478217600,600,900,547.5,835.01,134.56,93866.36
1478304000,507,624.34,501.01,600,101.14,56278.13
1478390400,309.11,515.99,275,507,164.08,68468.15
1478476800,240,334.82,229.03,309.11,138.35,40022.2
1478563200,275,275,166.79,240,192.21,43498.62
1478649600,267,400,210.05,275,491.75,137135.85
1478736000,212.09,278.88,210.05,267,249.49,61951.5
1478822400,181.23,229.93,179.01,212.09,186.61,37424.88
1478908800,140.95,198.98,139,181.23,111.59,18407.14
1478995200,120,162.52,110,140.95,231.34,30734.32
1479081600,105.1,120,89.24,120,404.69,43891.64
1479168000,113.9,134.98,90.06,105.1,255.92,29431.58
1479254400,93.56,118,93.5,113.9,538.33,56183.53
1479340800,84.47,98.98,84.47,93.56,198.49,18263.51
1479427200,68.07,86.2,68.07,84.47,378.48,29325.65
1479513600,62.92,70.92,62.86,68.07,294.71,19896.71
1479600000,60.66,74.75,60.66,62.92,206.98,13164.74
1479686400,55.01,60.66,55,60.66,196.93,11275.85
1479772800,59.59,73.42,55,55.01,729.68,44360.1
1479859200,81.19,99.72,56.19,59.59,1192.14,85081.34
1479945600,100,105.46,69.85,81.19,1610.69,139021.38
1480032000,90.54,123,83.79,100,989.85,97749.11
1480118400,75,94,75,90.54,695.26,57459.56
1480204800,73.65,77.95,66.1,75,659.11,47088.86
1480291200,74.11,74.11,65.05,73.65,424.49,28834.88
1480377600,68,77.37,65,74.11,506.17,35721.48
1480464000,67.21,73.3,65,68,497.74,34156.75
1480550400,63,68.59,62.16,67.21,591.42,38059.92
1480636800,60,65.14,60,63,1115.78,68543.16
1480723200,58,67.2,57.41,60,477.81,28148.78
1480809600,57.85,62.31,57.38,58,1011.86,59607.28
1480896000,50,57.85,50,57.85,1558.69,85767.44
1480982400,49.25,52,46.74,50,1816.47,90182.45
1481068800,55.9,62.36,46.08,49.25,1074.44,59735.07
1481155200,53.99,56.93,52.21,55.9,398.89,21686.25
1481241600,49.48,53.99,49.48,53.99,365.79,18624.46
1481328000,47.86,52.53,47.44,49.48,259.02,12764.35
1481414400,48.95,50.65,47.14,47.86,222.46,10951.7
1481500800,48.39,50.49,47.79,48.95,217.94,10672.93
1481587200,46.69,49.7,46.69,48.39,243.96,11753.48
1481673600,44,46.69,42.55,46.69,489.08,22041.93
1481760000,39.45,44,39.44,44,260.27,10924.34
1481846400,39.65,42.18,39.45,39.45,196.96,7951.02
1481932800,35.9,40.47,35.68,39.65,528.1,19615.62
1482019200,36.06,41.35,35,35.9,528.43,19562.63
1482105600,34.18,36.89,33.44,36.06,400.28,13972.75
1482192000,36.83,39.99,33.89,34.18,1187.42,43834.84
1482278400,35.44,38.94,35.2,36.83,638.39,23344.45
1482364800,48.99,48.99,35.44,35.44,1743.11,74361.01
1482451200,53.55,62.82,45.25,48.99,2769.97,149374.91
1482537600,46.77,54.41,46.77,53.55,796.3,39152.08
1482624000,45.56,48.78,42.72,46.77,298.7,13514.27
1482710400,43.01,45.56,41.99,45.56,490.46,21503.85
1482796800,44.01,47.33,35,43.01,852.19,37551.27
1482883200,48.87,54.22,43.02,44.01,1731.62,87690.26
1482969600,50.2,54.99,47.98,48.87,508.77,25617.76
1483056000,52,52.77,49.55,50.2,533.71,27070.11
1483142400,48,52,48,52,677.72,33195.6
1483228800,49,49.01,47.38,48,783.22,37828.44
1483315200,50.08,53.01,47.41,49,804.82,39735.17
1483401600,50,55.3,47.5,50.08,998.62,49426.55
1483488000,53.14,54.7,49.11,50,1630.9,85785.94
1483574400,49.99,58.01,44.01,53.14,2553.8,128451.43
1483660800,46.29,51.01,45.65,49.99,730.24,34559.53
1483747200,46.75,48,44.45,46.29,1023.43,46948.65
1483833600,45.15,47.88,45.15,46.75,491.55,22940.26
1483920000,45.49,47.5,45.15,45.15,547.49,25177.6
1484006400,45.3,47.01,45.3,45.49,456.93,20872.62
1484092800,40.04,45.6,38.85,45.3,1927.94,83113.67
1484179200,43,47.88,39.84,40.04,1076.23,47154.16
1484265600,43.04,45.01,42.21,43,393.85,17144.34
1484352000,44.98,50,43.04,43.04,536,23506.64
1484438400,44.21,45.01,43.4,44.98,411.12,18041.5
1484524800,43.42,50,43.4,44.21,295.52,13199.3
1484611200,45.01,45.87,43.41,43.42,822.61,36696.33
1484697600,43.24,45.01,42.5,45.01,1824.39,79146.73
1484784000,43.99,44.39,43.06,43.24,708.51,31024.36
1484870400,43.28,44.5,43.01,43.99,381.3,16629.87
1484956800,43.26,45,43.07,43.28,716.28,31691.15
1485043200,42.9,44.59,42.9,43.26,1015.21,44429.82
1485129600,42.56,43.98,42.56,42.9,478.65,20649.31
1485216000,41.05,43.9,41.04,42.56,619.72,26092.94
1485302400,39.11,41.11,39.02,41.05,978.79,39847.68
1485388800,37.11,41.97,37.11,39.11,1241.88,48808.37
1485475200,38.81,40.35,37.11,37.11,1378.2,53429.44
1485561600,38,38.81,37.86,38.81,277.7,10660.85
1485648000,38.72,40.9,37.97,38,645.74,25766.51
1485734400,40.3,40.4,38.16,38.72,332.7,12957.36
1485820800,39.72,40.4,38,40.3,1155.03,45378.11
1485907200,39.3,40.13,38.93,39.72,595.53,23628.94
1485993600,39.78,40.39,38.75,39.3,562.07,22134.19
1486080000,38.5,39.78,37.25,39.78,1173.98,44878.69
1486166400,39,39.41,37.86,38.5,571.75,21998.17
1486252800,37.52,39.13,37.52,39,1005.75,38247.92
1486339200,37.1,38,37,37.52,940.45,35037.64
1486425600,36.29,37.1,34.89,37.1,1551.91,55720.59
1486512000,34.56,36.56,34.33,36.29,2578.82,90541.44
1486598400,32.57,35.52,32,34.56,3756.74,126485.24
1486684800,32.51,33.24,32.1,32.57,637.71,20684.64
