time,BTC,ETH,BCH,LTC,XMR,XRP,ZEC
1279324800,0.049510000000000005,,,,,,
1279411200,0.08584,,,,,,
1279497600,0.0808,,,,,,
1279584000,0.07474,,,,,,
1279670400,0.07921,,,,,,
1279756800,0.0505,,,,,,
1279843200,0.06262000000000001,,,,,,
1279929600,0.05454,,,,,,
1280016000,0.0505,,,,,,
1280102400,0.055999999999999994,,,,,,
1280188800,0.06,,,,,,
1280275200,0.0589,,,,,,
1280361600,0.0699,,,,,,
1280448000,0.0627,,,,,,
1280534400,0.06785,,,,,,
1280620800,0.0611,,,,,,
1280707200,0.06,,,,,,
1280793600,0.06,,,,,,
1280880000,0.057,,,,,,
1280966400,0.061,,,,,,
1281052800,0.0623,,,,,,
1281139200,0.059000000000000004,,,,,,
1281225600,0.0609,,,,,,
1281312000,0.071,,,,,,
1281398400,0.07,,,,,,
1281484800,0.067,,,,,,
1281571200,0.07,,,,,,
1281657600,0.0645,,,,,,
1281744000,0.067,,,,,,
1281830400,0.06529,,,,,,
1281916800,0.0655,,,,,,
1282003200,0.07,,,,,,
1282089600,0.068,,,,,,
1282176000,0.0667,,,,,,
1282262400,0.0655,,,,,,
1282348800,0.0664,,,,,,
1282435200,0.066,,,,,,
1282521600,0.06491,,,,,,
1282608000,0.065,,,,,,
1282694400,0.0648,,,,,,
1282780800,0.064,,,,,,
1282867200,0.065,,,,,,
1282953600,0.0641,,,,,,
1283040000,0.064,,,,,,
1283126400,0.06497,,,,,,
1283212800,0.06,,,,,,
1283299200,0.0629,,,,,,
1283385600,0.0634,,,,,,
1283472000,0.06085,,,,,,
1283558400,0.06238,,,,,,
1283644800,0.0616,,,,,,
1283731200,0.0616,,,,,,
1283817600,0.061,,,,,,
1283904000,0.062,,,,,,
1283990400,0.061110000000000005,,,,,,
1284076800,0.0618,,,,,,
1284163200,0.06366000000000001,,,,,,
1284249600,0.0615,,,,,,
1284336000,0.062189999999999995,,,,,,
1284422400,0.061989999999999996,,,,,,
1284508800,0.0604,,,,,,
1284595200,0.0619,,,,,,
1284681600,0.059000000000000004,,,,,,
1284768000,0.061,,,,,,
1284854400,0.0627,,,,,,
1284940800,0.0621,,,,,,
1285027200,0.06265,,,,,,
1285113600,0.0622,,,,,,
1285200000,0.062310000000000004,,,,,,
1285286400,0.0622,,,,,,
1285372800,0.062020000000000006,,,,,,
1285459200,0.062,,,,,,
1285545600,0.0622,,,,,,
1285632000,0.0619,,,,,,
1285718400,0.06191,,,,,,
1285804800,0.0619,,,,,,
1285891200,0.061970000000000004,,,,,,
1285977600,0.0614,,,,,,
1286064000,0.061110000000000005,,,,,,
1286150400,0.0613,,,,,,
1286236800,0.0614,,,,,,
1286323200,0.06281,,,,,,
1286409600,0.067,,,,,,
1286496000,0.08685,,,,,,
1286582400,0.0938,,,,,,
1286668800,0.0965,,,,,,
1286755200,0.095,,,,,,
1286841600,0.0949,,,,,,
1286928000,0.105,,,,,,
1287014400,0.102,,,,,,
1287100800,0.105,,,,,,
1287187200,0.10099999999999999,,,,,,
1287273600,0.102,,,,,,
1287360000,0.1024,,,,,,
1287446400,0.09699999999999999,,,,,,
1287532800,0.099,,,,,,
1287619200,0.107,,,,,,
1287705600,0.1025,,,,,,
1287792000,0.1055,,,,,,
1287878400,0.115,,,,,,
1287964800,0.132,,,,,,
1288051200,0.1503,,,,,,
1288137600,0.1877,,,,,,
1288224000,0.1731,,,,,,
1288310400,0.19,,,,,,
1288396800,0.1989,,,,,,
1288483200,0.1925,,,,,,
1288569600,0.1955,,,,,,
1288656000,0.1938,,,,,,
1288742400,0.1931,,,,,,
1288828800,0.23,,,,,,
1288915200,0.26,,,,,,
1289001600,0.39,,,,,,
1289088000,0.34,,,,,,
1289174400,0.243,,,,,,
1289260800,0.21,,,,,,
1289347200,0.24,,,,,,
1289433600,0.2231,,,,,,
1289520000,0.2682,,,,,,
1289606400,0.276,,,,,,
1289692800,0.27899999999999997,,,,,,
1289779200,0.2682,,,,,,
1289865600,0.223,,,,,,
1289952000,0.2299,,,,,,
1290038400,0.2678,,,,,,
1290124800,0.28,,,,,,
1290211200,0.28300000000000003,,,,,,
1290297600,0.2767,,,,,,
1290384000,0.2879,,,,,,
1290470400,0.2829,,,,,,
1290556800,0.28300000000000003,,,,,,
1290643200,0.28,,,,,,
1290729600,0.2844,,,,,,
1290816000,0.28300000000000003,,,,,,
1290902400,0.27,,,,,,
1290988800,0.2299,,,,,,
1291075200,0.2082,,,,,,
1291161600,0.2275,,,,,,
1291248000,0.255,,,,,,
1291334400,0.251,,,,,,
1291420800,0.205,,,,,,
1291507200,0.19,,,,,,
1291593600,0.204,,,,,,
1291680000,0.233,,,,,,
1291766400,0.2388,,,,,,
1291852800,0.2,,,,,,
1291939200,0.204,,,,,,
1292025600,0.228,,,,,,
1292112000,0.22,,,,,,
1292198400,0.2299,,,,,,
1292284800,0.2467,,,,,,
1292371200,0.23800000000000002,,,,,,
1292457600,0.25,,,,,,
1292544000,0.24,,,,,,
1292630400,0.24100000000000002,,,,,,
1292716800,0.2401,,,,,,
1292803200,0.267,,,,,,
1292889600,0.24,,,,,,
1292976000,0.25,,,,,,
1293062400,0.25,,,,,,
1293148800,0.248,,,,,,
1293235200,0.2499,,,,,,
1293321600,0.265,,,,,,
1293408000,0.265,,,,,,
1293494400,0.281,,,,,,
1293580800,0.3,,,,,,
1293667200,0.3,,,,,,
1293753600,0.3,,,,,,
1293840000,0.3,,,,,,
1293926400,0.3,,,,,,
1294012800,0.295,,,,,,
1294099200,0.2989,,,,,,
1294185600,0.299,,,,,,
1294272000,0.298,,,,,,
1294358400,0.32,,,,,,
1294444800,0.3229,,,,,,
1294531200,0.32299999999999995,,,,,,
1294617600,0.3266,,,,,,
1294704000,0.3266,,,,,,
1294790400,0.3188,,,,,,
1294876800,0.3176,,,,,,
1294963200,0.4,,,,,,
1295049600,0.386,,,,,,
1295136000,0.3868,,,,,,
1295222400,0.3495,,,,,,
1295308800,0.313,,,,,,
1295395200,0.313,,,,,,
1295481600,0.39,,,,,,
1295568000,0.4199,,,,,,
1295654400,0.4443,,,,,,
1295740800,0.4424,,,,,,
1295827200,0.4199,,,,,,
1295913600,0.41,,,,,,
1296000000,0.41700000000000004,,,,,,
1296086400,0.4212,,,,,,
1296172800,0.446,,,,,,
1296259200,0.439,,,,,,
1296345600,0.4799,,,,,,
1296432000,0.52,,,,,,
1296518400,0.7,,,,,,
1296604800,0.716,,,,,,
1296691200,0.69,,,,,,
1296777600,0.8109999999999999,,,,,,
1296864000,0.92,,,,,,
1296950400,0.8997,,,,,,
1297036800,0.89,,,,,,
1297123200,0.9179999999999999,,,,,,
